,citations.OutFilm,citations.OutFilm_Year,citationsIndex.OutIndex,citations.InFilm,citations.InFilm_Year,citationsIndex.InIndex
1031,American Grindhouse 2010,2010,1,Blood Feast 1963,1963,1557
1032,American Grindhouse 2010,2010,1,Boin-n-g 1963,1963,1558
1033,American Grindhouse 2010,2010,1,Nature's Sweethearts 1963,1963,1559
1034,American Grindhouse 2010,2010,1,Orgy at Lil's Place 1963,1963,1560
1035,American Grindhouse 2010,2010,1,Scum of the Earth 1963,1963,1561
1036,American Grindhouse 2010,2010,1,Shock Corridor 1963,1963,1562
1069,American Grindhouse 2010,2010,1,Behind the Nudist Curtain 1964,1964,1581
1070,American Grindhouse 2010,2010,1,Bikini Beach 1964,1964,1582
1071,American Grindhouse 2010,2010,1,Dr. Sex 1964,1964,1583
1072,American Grindhouse 2010,2010,1,Kiss Me Quick! 1964,1964,1584
1073,American Grindhouse 2010,2010,1,My Tale Is Hot 1964,1964,1585
1074,American Grindhouse 2010,2010,1,Olga's Girls 1964,1964,1586
1075,American Grindhouse 2010,2010,1,Olga's House of Shame 1964,1964,1587
1076,American Grindhouse 2010,2010,1,The Horror of Party Beach 1964,1964,1588
1077,American Grindhouse 2010,2010,1,The Monster of Camp Sunshine or How I Learned to Stop Worrying and Love Nature 1964,1964,1589
1078,American Grindhouse 2010,2010,1,Two Thousand Maniacs! 1964,1964,1590
1079,American Grindhouse 2010,2010,1,White Slaves of Chinatown 1964,1964,1591
1121,American Grindhouse 2010,2010,1,Bad Girls Go to Hell 1965,1965,1609
1122,American Grindhouse 2010,2010,1,Beach Blanket Bingo 1965,1965,1610
1123,American Grindhouse 2010,2010,1,Color Me Blood Red 1965,1965,1611
1124,American Grindhouse 2010,2010,1,"Faster, Pussycat! Kill! Kill! 1965",1965,1612
1125,American Grindhouse 2010,2010,1,How to Stuff a Wild Bikini 1965,1965,1613
1126,American Grindhouse 2010,2010,1,I Saw What You Did 1965,1965,1614
1127,American Grindhouse 2010,2010,1,Mudhoney 1965,1965,1615
1128,American Grindhouse 2010,2010,1,One Shocking Moment 1965,1965,1616
1129,American Grindhouse 2010,2010,1,Orgy of the Dead 1965,1965,1617
1130,American Grindhouse 2010,2010,1,The Beach Girls and the Monster 1965,1965,1618
1131,American Grindhouse 2010,2010,1,The Defilers 1965,1965,1619
1132,American Grindhouse 2010,2010,1,The Prince and the Nature Girl 1965,1965,1620
1133,American Grindhouse 2010,2010,1,The Sin Syndicate 1965,1965,1621
1134,American Grindhouse 2010,2010,1,The War Lord 1965,1965,1622
1155,American Grindhouse 2010,2010,1,Agony of Love 1966,1966,1632
1156,American Grindhouse 2010,2010,1,"Another Day, Another Man 1966",1966,1633
1157,American Grindhouse 2010,2010,1,Aroused 1966,1966,1634
1158,American Grindhouse 2010,2010,1,Banned 1966,1966,1635
1159,American Grindhouse 2010,2010,1,Lord Love a Duck 1966,1966,1636
1160,American Grindhouse 2010,2010,1,My Brothers Wife 1966,1966,1637
1161,American Grindhouse 2010,2010,1,Teenage Gang Debs 1966,1966,1638
1162,American Grindhouse 2010,2010,1,The Black Klansman 1966,1966,1639
1163,American Grindhouse 2010,2010,1,The Ghost in the Invisible Bikini 1966,1966,1640
1164,American Grindhouse 2010,2010,1,The Girl from S.I.N. 1966,1966,1641
1165,American Grindhouse 2010,2010,1,The Girls on F Street 1966,1966,1642
1166,American Grindhouse 2010,2010,1,The Undertaker and His Pals 1966,1966,1643
1167,American Grindhouse 2010,2010,1,The Wild Angels 1966,1966,1644
1186,American Grindhouse 2010,2010,1,A Taste of Flesh 1967,1967,1657
1187,American Grindhouse 2010,2010,1,Bonnie and Clyde 1967,1967,1658
1188,American Grindhouse 2010,2010,1,Hells Angels on Wheels 1967,1967,1659
1189,American Grindhouse 2010,2010,1,Lusting Hours 1967,1967,1660
1190,American Grindhouse 2010,2010,1,Riot on Sunset Strip 1967,1967,1661
1191,American Grindhouse 2010,2010,1,Teenage Mother 1967,1967,1662
1192,American Grindhouse 2010,2010,1,The Girl with the Hungry Eyes 1967,1967,1663
1193,American Grindhouse 2010,2010,1,The Gruesome Twosome 1967,1967,1664
1194,American Grindhouse 2010,2010,1,The Promiscuous Sex 1967,1967,1665
1195,American Grindhouse 2010,2010,1,The Touch of Her Flesh 1967,1967,1666
1196,American Grindhouse 2010,2010,1,To Turn a Trick 1967,1967,1667
1197,American Grindhouse 2010,2010,1,Way Out Topless 1967,1967,1668
1235,American Grindhouse 2010,2010,1,A Sweet Sickness 1968,1968,1681
1236,American Grindhouse 2010,2010,1,College Girls 1968,1968,1682
1237,American Grindhouse 2010,2010,1,Daughters of Lesbos 1968,1968,1683
1238,American Grindhouse 2010,2010,1,Hang 'Em High 1968,1968,1684
1239,American Grindhouse 2010,2010,1,Indecent Desires 1968,1968,1685
1240,American Grindhouse 2010,2010,1,Invitation to Ruin 1968,1968,1686
1241,American Grindhouse 2010,2010,1,Lila 1968,1968,1687
1242,American Grindhouse 2010,2010,1,Psych-Out 1968,1968,1688
1243,American Grindhouse 2010,2010,1,She-Devils on Wheels 1968,1968,1689
1244,American Grindhouse 2010,2010,1,The Alley Tramp 1968,1968,1690
1245,American Grindhouse 2010,2010,1,The Astro-Zombies 1968,1968,1691
1246,American Grindhouse 2010,2010,1,The Filthy Five 1968,1968,1692
1247,American Grindhouse 2010,2010,1,The Hellcats 1968,1968,1693
1248,American Grindhouse 2010,2010,1,The Mini-Skirt Mob 1968,1968,1694
1249,American Grindhouse 2010,2010,1,Therese and Isabelle 1968,1968,1695
1250,American Grindhouse 2010,2010,1,Too Much Too Often! 1968,1968,1696
1318,American Grindhouse 2010,2010,1,All Women Are Bad 1969,1969,1720
